filename,label,L5L5,L5E5,L5S5,L5W5,L5R5,E5L5,E5E5,E5S5,E5W5,E5R5,S5L5,S5E5,S5S5,S5W5,S5R5,W5L5,W5E5,W5S5,W5W5,W5R5,R5L5,R5E5,R5S5,R5W5,R5R5
brick_5.raw,brick,8921.3022003174,645.9341430664,469.6510620117,444.3556518555,829.0045776367,990.5671997070,113.2294311523,74.2453002930,75.0551147461,130.2366333008,487.9125366211,72.8759155273,45.2935180664,43.6672973633,74.1632690430,434.4229125977,76.4148559570,46.0115356445,43.5177612305,74.2542114258,747.8787231445,131.9067993164,79.1085815430,75.4517211914,133.4319458008
brick_6.raw,brick,10543.9551696777,611.3893432617,299.7732543945,284.9478149414,538.7289428711,1276.2020874023,162.4877319336,93.5530395508,93.0237426758,174.6001586914,617.0139770508,106.6510620117,64.5479125977,63.5382690430,114.7064819336,549.1516723633,119.0415649414,72.5083618164,70.4196166992,124.4865112305,1012.8909301758,232.8405151367,141.5900268555,137.8462524414,246.0099487305
brick_7.raw,brick,1498.9930648804,258.9900512695,176.2022094727,189.2128295898,346.3236694336,354.8102416992,45.6354370117,33.7763061523,38.9301147461,70.9763793945,197.1964721680,26.1552124023,17.7455444336,19.4589233398,35.2620239258,194.0833129883,25.1119995117,16.1161499023,17.5761108398,32.6061401367,311.9861450195,42.0523071289,27.2222290039,30.6502075195,59.6979370117
brick_8.raw,brick,3243.3778572083,392.0003662109,236.0151367188,232.2734375000,382.9833984375,1070.8359375000,139.8049316406,82.5780029297,79.6081542969,127.7208251953,729.0676269531,104.3505859375,60.9664306641,57.2523193359,89.5371093750,732.5599365234,119.7775878906,70.0662841797,65.1981201172,101.3420410156,1160.3973388672,222.2302246094,129.2791748047,120.2398681641,190.3349609375
brick_9.raw,brick,6911.5999488831,600.3669433594,318.8186035156,326.5810546875,638.2386474609,1144.0288085938,161.6214599609,98.7795410156,105.1405029297,203.7838134766,607.2733154297,107.3409423828,67.1495361328,69.7816162109,132.5598144531,564.1701660156,120.8011474609,76.6162109375,77.5676269531,142.9019775391,1046.6624755859,248.8093261719,158.3574218750,158.7227783203,284.3709716797
grass_1.raw,grass,5741.9333419800,1226.6430053711,613.8244018555,496.1195678711,653.7348022461,1401.5797729492,352.7003784180,190.5222778320,164.0614624023,227.3300170898,793.2260131836,210.3543090820,116.3056030273,104.8211059570,152.8180541992,715.3302612305,197.3596801758,113.0967407227,105.6956176758,162.3169555664,1007.7534790039,292.7675170898,176.2440795898,172.9675903320,289.2002563477
grass_2.raw,grass,5470.0570983887,1167.2030639648,606.3944702148,507.2067260742,701.3451538086,1422.7645874023,370.1371459961,203.7540893555,175.6549682617,246.8679809570,828.7301635742,236.2843627930,134.5162963867,119.2459106445,173.8589477539,756.6138305664,230.3389282227,135.6731567383,125.7583618164,192.3775024414,1118.1434936523,360.9348754883,223.5220336914,218.5504760742,357.9745483398
grass_3.raw,grass,5640.0304908752,1184.6951904297,633.5526123047,570.0512695312,875.6057128906,1209.3734130859,335.5637207031,195.3098144531,186.2246093750,299.8276367188,670.3026123047,201.4285888672,123.0111083984,121.9284667969,202.1540527344,608.7919921875,194.6984863281,123.2102050781,125.6175537109,214.1484375000,910.6412353516,305.6033935547,201.6082763672,211.6176757812,377.5007324219
grass_4.raw,grass,4944.3523292542,1139.7139282227,647.4435424805,619.4340209961,1007.3057250977,1243.7142944336,351.6233520508,214.0790405273,212.7228393555,357.9472045898,725.8960571289,221.7013549805,139.1790161133,142.1112670898,244.3248901367,674.3817749023,219.1682739258,141.4979858398,146.5961303711,259.3599243164,1039.5474243164,356.9259643555,238.2343139648,253.0304565430,460.4871215820
grass_5.raw,grass,5649.9169616699,1200.1760864258,630.5642700195,559.5808715820,872.2373657227,1213.8129272461,331.3052368164,193.3634643555,184.1207885742,297.2128295898,636.0548706055,193.8616333008,121.5453491211,121.6100463867,202.5317993164,562.0984497070,184.8351440430,121.3676147461,126.5579223633,220.6389770508,866.6932983398,297.9536743164,201.8698120117,219.1834106445,405.5986938477
grass_6.raw,grass,4960.0205421448,1294.8381958008,763.5922241211,735.1449584961,1185.3505249023,1177.1636352539,370.4800415039,236.4928588867,238.4109497070,396.3340454102,651.4935913086,221.8738403320,146.9192504883,151.7994995117,258.5763549805,580.6000366211,207.5147094727,141.7305297852,151.5913696289,268.7522583008,866.2661743164,318.9313354492,225.2666625977,250.7839965820,473.8921508789
grass_7.raw,grass,5008.2910766602,1235.0518798828,707.2947998047,661.4533691406,1043.9998779297,1175.8398437500,350.1246337891,217.6406250000,218.3854980469,362.9489746094,664.0236816406,213.7114257812,137.0655517578,141.5512695312,245.1337890625,612.4665527344,211.2603759766,139.1228027344,146.8547363281,261.7215576172,955.6480712891,344.8807373047,236.0876464844,255.7014160156,473.8216552734
grass_8.raw,grass,6261.0536556244,1163.4401855469,583.1956787109,488.0568847656,699.7031250000,1190.8605957031,317.3039550781,177.4710693359,163.9676513672,251.7132568359,608.0667724609,182.5352783203,109.2113037109,106.2727050781,172.3675537109,509.6087646484,168.8940429688,106.5308837891,107.4085693359,181.7995605469,736.1398925781,258.9353027344,170.0681152344,176.7406005859,316.4321289062
grass_9.raw,grass,6214.0513191223,1220.6795654297,650.7363281250,560.7473144531,785.5776367188,1167.0458984375,331.0144042969,197.5860595703,188.5079345703,280.6705322266,581.2537841797,183.4022216797,116.2465820312,116.0363769531,183.9405517578,477.0048828125,161.5582275391,105.4329833984,109.1311035156,184.2307128906,672.7923583984,232.8372802734,155.2266845703,166.6645507812,307.9616699219
stones_1.raw,stones,10299.8394927979,1192.7649536133,554.4755249023,563.0148315430,1269.0210571289,1554.1001586914,315.2622680664,163.2769165039,156.6682739258,345.0549926758,792.1278686523,190.1273803711,101.5220336914,94.1723022461,200.9966430664,781.3690795898,195.1792602539,104.8423461914,94.9872436523,191.0877075195,1699.4281616211,389.6248168945,202.7200317383,180.0053100586,335.6703491211
stones_2.raw,stones,9135.7575111389,1110.1855468750,472.8967285156,437.6751708984,908.7874755859,1069.5550537109,260.9721679688,147.8903808594,154.0695800781,338.3878173828,473.9270019531,149.8164062500,97.0357666016,106.6035156250,243.3199462891,432.5177001953,156.9914550781,108.8779296875,124.2969970703,287.1129150391,846.3649902344,319.7833251953,231.0638427734,276.6286621094,664.4511718750
stones_3.raw,stones,9419.4400787354,1980.9393310547,1035.6573486328,1011.0140380859,2231.8552246094,2438.2231445312,602.5208740234,352.8015136719,376.6763916016,867.4197998047,1317.1585693359,381.9490966797,248.9171142578,284.1895751953,670.9548339844,1291.6672363281,435.0440673828,303.3676757812,360.5068359375,870.5070800781,2813.7370605469,1033.2304687500,753.6763916016,929.6062011719,2287.0087890625
stones_4.raw,stones,12978.3138885498,1270.2519531250,436.3745117188,371.4030761719,730.8635253906,1432.5761718750,268.6546630859,134.6413574219,131.7626953125,268.6867675781,515.3391113281,144.3157958984,87.1074218750,89.9979248047,188.3238525391,438.3780517578,145.6892089844,93.8074951172,99.1732177734,208.0593261719,869.4129638672,291.4604492188,191.4147949219,204.4193115234,426.9727783203
stones_5.raw,stones,10706.2347183228,879.9253540039,406.3491821289,401.0791625977,875.5780639648,1769.0872192383,308.3919067383,163.4014282227,165.7249145508,360.9381713867,955.5425415039,217.6836547852,127.1248168945,132.8208618164,291.2601928711,986.3501586914,264.3798217773,162.9459838867,174.7797241211,387.8385620117,2262.9448852539,658.8195190430,419.0220336914,459.7106323242,1019.1543579102
stones_6.raw,stones,11285.0900669098,1399.5964355469,686.2419433594,727.8498535156,1703.7703857422,1368.4442138672,361.3259277344,227.9729003906,267.2623291016,658.8991699219,650.2152099609,219.6710205078,159.1323242188,199.0632324219,510.6080322266,659.1037597656,253.0413818359,194.9429931641,254.7816162109,665.4639892578,1534.3002929688,620.6705322266,499.9700927734,672.3905029297,1756.6567382812
stones_7.raw,stones,5069.6367340088,865.8494262695,447.4738159180,463.1199340820,1097.1278686523,1032.6970825195,248.5942993164,148.5879516602,167.9148559570,411.0513305664,567.2903442383,163.2544555664,106.1867065430,123.8441772461,308.0081176758,573.5040893555,185.9703979492,127.9349975586,150.0364379883,374.5902709961,1306.9945678711,451.6450805664,316.2055053711,373.8495483398,946.0459594727
stones_8.raw,stones,8112.6636028290,1871.5186157227,986.5968627930,961.4129028320,2007.4231567383,1583.9722290039,473.5731811523,298.2781372070,328.4114379883,746.0061645508,841.9948120117,285.8798217773,196.3253784180,228.9299926758,548.4320678711,832.5449829102,309.4160766602,226.3760375977,276.1513061523,678.2302856445,1899.9743041992,723.7495727539,545.1732788086,688.9423217773,1724.9237670898
stones_9.raw,stones,10339.6935615540,847.8460693359,305.3504638672,273.8018798828,554.8760986328,794.5317382812,164.8967285156,88.7231445312,87.9530029297,178.4255371094,309.6674804688,89.5509033203,54.2492675781,55.4073486328,111.6955566406,272.8286132812,86.0157470703,53.7150878906,55.4731445312,111.7854003906,476.0120849609,152.0273437500,95.3500976562,99.6971435547,205.7946777344
